"country_code","city_name","geonameid"
"AR","Lucas Gonzalez","3431005"
"AR","San Jose de Feliciano","3428858"
"AR","Ubajay","3427593"
"AR","Villa Paranacito","3427386"
"AR","Bovril","3435966"
"AR","Federacion","3433959"
"AR","Hasenkamp","3433580"
"AR","Macia","3430968"
"AR","San Salvador","3428481"
"AR","Urdinarrain","3427582"
"AR","Villa Urquiza","3832603"
"AR","Caseros","3435612"
"AR","Federal","3433956"
"AR","Hernandez","3854334"
"AR","Oro Verde","3842559"
"AR","Santa Ana","3428453"
"AR","Viale","3832959"
"AR","Villa del Rosario","3427454"
"AR","Ceibas","3435570"
"AR","General Campos","3433815"
"AR","La Criolla","3432768"
"AR","Parana","3841956"
"AR","Santa Anita","3428424"
"AR","Victoria","3832934"
"AR","Villaguay","3427428"
"AR","Clorinda","3435364"
"AR","Laguna Naick-Neck","3432463"
"AR","El Colorado","3434731"
"AR","Laguna Yema","3850888"
"AR","Estanislao del Campo","3855763"
"AR","Las Lomitas","3848164"
"AR","Formosa","3433899"
"AR","Palo Santo","3430186"
"AR","General Enrique Mosconi","3855115"
"AR","Pirane","3429949"
"AR","Herradura","3433567"
"AR","San Francisco de Laishi","3429054"
"AR","Ibarreta","3433513"
"AR","Ingeniero Guillermo N. Juarez","3853788"
"AR","Calilegua","3863366"
"AR","Palpala","3842190"
"AR","El Aguilar","3859000"
"AR","San Pedro","3836772"
"AR","Fraile Pintado","3855394"
"AR","San Salvador de Jujuy","3836564"
"AR","Humahuaca","3853967"
"AR","Santa Clara","3836407"
"AR","La Mendieta","3849924"
"AR","Yuto","3832189"
"AR","La Quiaca","3849140"
"AR","Abra Pampa","3867009"
"AR","Libertador General San Martin","3846915"
"AR","Caimancito","3863491"
"AR","Maimara","3845254"
"AR","Arata","3865580"
"AR","Embajador Martini","3856236"
"AR","La Maruja","3849980"
"AR","Santa Isabel","3836238"
"AR","Bernardo Larroude","3864285"
"AR","General Acha","3855143"
"AR","Lonquimay","3846610"
"AR","Santa Rosa","3835994"
"AR","Bernasconi","3864283"
"AR","General Pico","3855075"
"AR","Macachin","3845344"
"AR","Telen","3834542"
"AR","Caleufu","3863377"
"AR","General San Martin","3855056"
"AR","Miguel Riglos","3844267"
"AR","Trenel","3833880"
"AR","Catrilo","3862251"
"AR","Guatrache","3854493"
"AR","Parera","3841937"
"AR","Uriburu","3833391"
"AR","Alpachiri","3866214"
"AR","Colonia Baron","3860811"
"AR","Ingeniero Luiggi","3853783"
"AR","Quemu Quemu","3839668"
"AR","Veinticinco de Mayo","3833111"
"AR","Alta Italia","3866161"
"AR","Doblas","3859296"
"AR","Intendente Alvear","3853745"
"AR","Rancul","3839381"
"AR","Victorica","3832923"
"AR","Anguil","3865742"
"AR","Eduardo Castex","3859036"
"AR","Jacinto Arauz","3853592"
"AR","Realico","3839282"
"AR","Winifreda","3832388"
"AR","Arauco","3865579"
"AR","Chamical","3861824"
"AR","Chilecito","3861445"
"AR","La Rioja","3848950"
"AR","Villa Bustos","3832795"
"AR","Mendoza","3844421"
"AR","San Martin","3836992"
"AR","San Rafael","3836669"
"AR","Alba Posse","3436448"
"AR","Capiovi","3435701"
"AR","Garupa","3433836"
"AR","Panambi","3430178"
"AR","San Jose","3428928"
"AR","Almafuerte","3436398"
"AR","Cerro Azul","3435532"
"AR","General Alvear","3433820"
"AR","Picada Gobernador Lopez","3430015"
"AR","San Pedro","3428577"
"AR","Aristobulo del Valle","3436287"
"AR","Cerro Cora","3435525"
"AR","Gobernador Roca","3433743"
"AR","Posadas","3429886"
"AR","San Vicente","3428068"
"AR","Arroyo del Medio","3436267"
"AR","Colonia Aurora","3435344"
"AR","Guarani","3433648"
"AR","Puerto Eldorado","3429790"
"AR","Santa Maria","3428264"
"AR","Bernardo de Irigoyen","3436030"
"AR","Concepcion de la Sierra","3435266"
"AR","Jardin America","3433349"
"AR","Puerto Esperanza","3429786"
"AR","Santo Pipo","3428079"
"AR","Campo Grande","3435789"
"AR","Dos de Mayo","3434995"
"AR","Loreto","3431245"
"AR","Puerto Iguazu","3429777"
"AR","Tres Capones","3427659"
"AR","Campo Viera","3435750"
"AR","El Soberbio","3434291"
"AR","Montecarlo","3430601"
"AR","Puerto Libertad","3429764"
"AR","Veinticinco de Mayo","3427537"
"AR","Candelaria","3435734"
"AR","Garuhape","3433839"
"AR","Obera","3430340"
"AR","Puerto Piray","3429738"
"AR","Andacollo","3865803"
"AR","Las Lajas","3848216"
"AR","San Martin de los Andes","3836951"
"AR","Anelo","3865776"
"AR","Loncopue","3846634"
"AR","Senillosa","3835372"
"AR","Barrancas","3864729"
"AR","Mariano Moreno","3844832"
"AR","Villa La Angostura","3832711"
"AR","Buta Ranquil","3863663"
"AR","Neuquen","3843123"
"AR","Vista Alegre","3832518"
"AR","Centenario","3862144"
"AR","Picun Leufu","3841301"
"AR","Zapala","3832132"
"AR","Chos Malal","3861262"
"AR","Piedra del Aguila","3841232"
"AR","Cutral-Co","3859552"
"AR","Plaza Huincul","3840896"
"AR","Alumine","3866000"
"AR","Junin de los Andes","3853350"
"AR","Plottier","3840885"
"AR","Chichinales","3861528"
"AR","Darwin","3859521"
"AR","Maquinchao","3844933"
"AR","Chimpay","3861405"
"AR","El Bolson","3858765"
"AR","San Antonio Oeste","3837980"
"AR","Choele Choel","3861329"
"AR","General Conesa","3855121"
"AR","San Carlos de Bariloche","7647007"
"AR","Cinco Saltos","3861061"
"AR","General Roca","3855065"
"AR","Sierra Colorada","3835304"
"AR","Cipolletti","3861056"
"AR","Ingeniero Jacobacci","3853786"
"AR","Sierra Grande","3835297"
"AR","Allen","3866242"
"AR","Comallo","3860475"
"AR","Ingeniero Luis A. Huergo","3853782"
"AR","Viedma","3832899"
"AR","Catriel","3862254"
"AR","Contraalmirante Cordero","3860319"
"AR","Lamarque","3850005"
"AR","Villa Regina","3832647"
"AR","Cervantes","3861966"
"AR","Coronel Belisle","3860206"
"AR","Los Menucos","3845977"
"AR","Cachi","3863557"
